Row_no,No,Showing_time,Mode,Font_size,Font_color,Created_time,Converted_time,Time_interval,Danmaku_pool,RowID,user_id_encrypt,Barrages_original,Barrages_simplified,VideoID
1,,13.76400,1,25,16777215,1581334852,2020-02-10 05:40:52,627,0,28412570224295938,9ee5ba77,还热乎,,87976912
2,,12.64100,1,25,16777215,1581334853,2020-02-10 05:40:53,627,0,28412570974552064,2b9faec4,第一条弹幕！,,87976912
3,,28.47500,1,25,16777215,1581334869,2020-02-10 05:41:09,627,0,28412579256729602,2b9faec4,第一！！！！！,,87976912
4,,11.30600,1,25,16777215,1581334870,2020-02-10 05:41:10,627,0,28412580112891904,5e6da7d9,来了,,87976912
5,,29.24700,1,25,16777215,1581334872,2020-02-10 05:41:12,627,0,28412580774543360,9ee5ba77,来了来了,,87976912
6,,41.27900,1,25,16777215,1581334899,2020-02-10 05:41:39,627,0,28412595088654340,620ea9c4,也没有洗头吗,,87976912
7,,58.94200,1,25,16777215,1581334900,2020-02-10 05:41:40,627,0,28412595576766464,e972a15e,来啦来啦,,87976912
8,,51.59000,1,25,16777215,1581334903,2020-02-10 05:41:43,627,0,28412597238235138,8a99a8b3,来啦,,87976912
9,,62.81100,1,25,16777215,1581334922,2020-02-10 05:42:02,627,0,28412607404179456,5e6da7d9,来了,,87976912
10,,27.77100,1,25,16777215,1581334934,2020-02-10 05:42:14,627,0,28412613389451268,dd888554,准备蹲课代表的，发现还没有,,87976912
11,,30.06300,1,25,16777215,1581334940,2020-02-10 05:42:20,627,0,28412616837169154,7e3ed8c6,热乎,,87976912
12,,5.13100,1,25,16777215,1581334893,2020-02-10 05:41:33,627,0,28412592139534338,2f9ddc29,热乎的！,,87976912
13,,20.28700,1,25,16777215,1581334963,2020-02-10 05:42:43,627,0,28412628563918848,2dbb38f,来了,,87976912
14,,121.06400,1,25,16777215,1581334969,2020-02-10 05:42:49,627,0,28412631904157698,7de83d5f,我来的也太早了,,87976912
15,,30.29300,1,25,16777215,1581334983,2020-02-10 05:43:03,627,0,28412639040241668,8bfe731e,帽子好好看！,,87976912
16,,95.76900,1,25,16777215,1581334983,2020-02-10 05:43:03,627,0,28412639327551492,2e06c6da,这么早么,,87976912
17,,91.55100,1,25,16777215,1581334991,2020-02-10 05:43:11,627,0,28412643205185538,ba8605b0,来的太早了,,87976912
18,,113.83400,1,25,16777215,1581334947,2020-02-10 05:42:27,627,0,28412620452134912,ad9e7a06,一样的两瓶,,87976912
19,,151.87100,1,25,16777215,1581335001,2020-02-10 05:43:21,627,0,28412648741142530,47d4138d,对呀，但是会致粉刺,,87976912
20,,105.30800,1,25,16777215,1581334955,2020-02-10 05:42:35,627,0,28412624510648322,d0cbbdee,我还是第一个吗,,87976912
21,,17.30500,1,25,16777215,1581334943,2020-02-10 05:42:23,627,0,28412618252746752,fd705923,来了来了,,87976912
22,,31.05800,1,25,16777215,1581335029,2020-02-10 05:43:49,627,0,28412663439032384,75dcb4d9,我好前！！,,87976912
23,,28.07400,1,25,16777215,1581335041,2020-02-10 05:44:01,627,0,28412669624057856,4d1a8a35,想看粉底哈哈哈,,87976912
24,,22.65900,1,25,16777215,1581335042,2020-02-10 05:44:02,627,0,28412669877813248,ddc4c6ee,3分钟,,87976912
25,,3.60100,1,25,16777215,1581335057,2020-02-10 05:44:17,627,0,28412677827067904,1962e950,来了,,87976912
26,,146.48300,1,25,16777215,1581335061,2020-02-10 05:44:21,627,0,28412679950958592,b6bb122a,我就是觉得油的，哈哈哈哈哈,,87976912
27,,386.02600,1,25,16777215,1581335063,2020-02-10 05:44:23,627,0,28412681245949956,ad9e7a06,好用！,,87976912
28,,28.39800,1,25,16777215,1581335020,2020-02-10 05:43:40,627,0,28412658903941120,75dcb4d9,我还前！！！,,87976912
29,,14.23900,1,25,16777215,1581335093,2020-02-10 05:44:53,627,0,28412696699863040,f67147e8,我来啦啦啦啦啦啦,,87976912
30,,15.49100,1,25,16777215,1581335098,2020-02-10 05:44:58,627,0,28412699346993156,1f5e0665,我也太早了吧！！！,,87976912
31,,146.87000,1,25,16777215,1581335076,2020-02-10 05:44:36,627,0,28412687802695684,4f04322e,√，我室友说油但是我用不油，而且我俩肤质还差不多,,87976912
32,,0.53100,1,25,16777215,1581335076,2020-02-10 05:44:36,627,0,28412688011362304,374a4cd6,来了哈哈哈哈哈哈第一,,87976912
33,,18.37800,1,25,16777215,1581335110,2020-02-10 05:45:10,627,0,28412705706606592,4635cdcc,帽子好看！,,87976912
34,,125.46900,1,25,16777215,1581335114,2020-02-10 05:45:14,627,0,28412707823681538,2e06c6da,大热款,,87976912
35,,73.39800,1,25,16777215,1581335115,2020-02-10 05:45:15,627,0,28412708491100164,c5254e0,同款,,87976912
36,,19.24000,1,25,16777215,1581335126,2020-02-10 05:45:26,627,0,28412714111991810,eccb96f5,帽子好可爱你,,87976912
37,,218.02600,1,25,16777215,1581335128,2020-02-10 05:45:28,627,0,28412714964484096,f84adb8,有人吗,,87976912
38,,144.81500,1,25,16777215,1581335128,2020-02-10 05:45:28,627,0,28412715280105472,56ae0649,甜今天好温柔的感觉,,87976912
39,,152.98000,1,25,16777215,1581335133,2020-02-10 05:45:33,627,0,28412717730627588,24d13f53,关上80的大门,,87976912
40,,3.09600,1,25,16777215,1581335088,2020-02-10 05:44:48,627,0,28412694179086336,374a4cd6,甜的皮肤好好啊,,87976912
41,,64.38300,1,25,16777215,1581335169,2020-02-10 05:46:09,627,0,28412736735543298,594b0353,来啦,,87976912
42,,140.35000,1,25,16777215,1581335172,2020-02-10 05:46:12,627,0,28412738450489344,d4c2f57d,对啊也不闷痘,,87976912
43,,122.87800,1,25,16777215,1581335179,2020-02-10 05:46:19,627,0,28412741877235712,c53f8a9c,安耐晒？,,87976912
44,,44.39800,1,25,16777215,1581335180,2020-02-10 05:46:20,627,0,28412742521061378,5e9fef8f,怎么感觉声音有点怪怪的,,87976912
45,,98.02500,1,25,16777215,1581335182,2020-02-10 05:46:22,627,0,28412743280754692,aa5ea647,在用+1,,87976912
46,,15.77800,1,25,16777215,1581335182,2020-02-10 05:46:22,627,0,28412743539752962,3ca76d31,俺来啦,,87976912
47,,17.87500,1,25,16777215,1581335185,2020-02-10 05:46:25,627,0,28412745270427648,d2e24eb2,口红好好看,,87976912
48,,71.53900,1,25,16777215,1581335186,2020-02-10 05:46:26,627,0,28412745409363968,eccb96f5,怡思丁！,,87976912
49,,6.63300,1,25,16777215,1581335192,2020-02-10 05:46:32,627,0,28412748754321408,c614ddf3,终于更新了！！！！,,87976912
50,,83.61000,1,25,16777215,1581335192,2020-02-10 05:46:32,627,0,28412748823003140,594b0353,和我一样！,,87976912
51,,54.53000,1,25,16777215,1581335197,2020-02-10 05:46:37,627,0,28412751131967492,1517de2f,哇塞！！！！第一次这么前,,87976912
52,,129.52000,1,25,16777215,1581335145,2020-02-10 05:45:45,627,0,28412724337704962,12169fd,这期大佬甜说话很温柔啊,,87976912
53,,25.12000,1,25,16777215,1581335146,2020-02-10 05:45:46,627,0,28412724696317952,eccb96f5,就喜欢这种视频hhhhhh,,87976912
54,,43.43800,1,25,16777215,1581335139,2020-02-10 05:45:39,627,0,28412721135353856,3cd509b3,承包空屏我甜,,87976912
55,,146.70900,1,25,16777215,1581335151,2020-02-10 05:45:51,627,0,28412727460364290,2e06c6da,长闭口,,87976912
56,,89.59400,5,25,16777215,1581335223,2020-02-10 05:47:03,627,0,28412765056008192,282e5de8,跟我一样哈哈哈,,87976912
57,,362.30200,1,25,16777215,1581335225,2020-02-10 05:47:05,627,0,28412766054252548,48fd01c8,看了一半才发现超级前排啊,,87976912
58,,83.59400,1,25,16777215,1581335226,2020-02-10 05:47:06,627,0,28412766353620992,1517de2f,我来了！！！！,,87976912
59,,151.18600,1,25,16777215,1581335230,2020-02-10 05:47:10,627,0,28412768821444610,abf8af17,涂之前要摇匀,,87976912
60,,114.67900,1,25,16777215,1581335237,2020-02-10 05:47:17,627,0,28412772270211074,9c061041,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,,87976912
61,,36.41900,1,25,16777215,1581335246,2020-02-10 05:47:26,627,0,28412777279258624,14dcffed,看底妆,,87976912
62,,8.39600,1,25,16777215,1581335251,2020-02-10 05:47:31,627,0,28412779767529476,905aaec6,来了来了！,,87976912
63,,109.02600,1,25,16777215,1581335257,2020-02-10 05:47:37,627,0,28412782979842048,1517de2f,爱您~,,87976912
64,,21.82200,1,25,16777215,1581335209,2020-02-10 05:46:49,627,0,28412757896855552,69ed0a83,来了,,87976912
65,,134.04000,1,25,16777215,1581335265,2020-02-10 05:47:45,627,0,28412786986450946,9c061041,这个不是闷痘么,,87976912
66,,305.79800,1,25,16777215,1581335211,2020-02-10 05:46:51,627,0,28412758648684544,c1e8f5b5,哈哈哈,,87976912
67,,82.23200,1,25,16777215,1581335212,2020-02-10 05:46:52,627,0,28412759275732996,282e5de8,跟我一样,,87976912
68,,99.58200,1,25,16777215,1581335212,2020-02-10 05:46:52,627,0,28412759315578880,cf0d33d5,这个防晒黑吗,,87976912
69,,62.70900,1,25,16777215,1581335205,2020-02-10 05:46:45,627,0,28412755397050368,1517de2f,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,,87976912
70,,85.89100,1,25,16777215,1581335305,2020-02-10 05:48:25,627,0,28412808082751488,7699030,是的,,87976912
71,,128.41000,1,25,16777215,1581335315,2020-02-10 05:48:35,627,0,28412813451984898,8b0ef4ca,新版的超级难用……,,87976912
72,,360.55400,1,25,16777215,1581335328,2020-02-10 05:48:48,627,0,28412820247805956,1535e8e1,口红什么色号呀 好好看,,87976912
73,,4.67100,1,25,16777215,1581335330,2020-02-10 05:48:50,627,0,28412820968701956,4b5ed74d,来了！,,87976912
74,,11.90500,1,25,16777215,1581335331,2020-02-10 05:48:51,627,0,28412821733113860,ab96a888,来了,,87976912
75,,157.52400,1,25,16777215,1581335280,2020-02-10 05:48:00,627,0,28412794936229892,cf0d33d5,搓泥,,87976912
