Row_no,No,Showing_time,Mode,Font_size,Font_color,Created_time,Converted_time,Time_interval,Danmaku_pool,RowID,user_id_encrypt,Barrages_original,Barrages_simplified,VideoID
1,,569.48600,5,25,16646914,1582716057,2020-02-26 05:20:57,643,0,29136719605923847,87014f19,虽然是骂，但是人家的野火集写的确实好,,90748352
2,,849.97900,5,25,15138834,1582716081,2020-02-26 05:21:21,643,0,29136732239691783,8139c6bc,哈哈哈哈哈观察者不愧是观察者,,90748352
3,,3.75400,1,25,16777215,1582716096,2020-02-26 05:21:36,643,0,29136740086185991,d754e9b2,中门对狙,,90748352
4,,602.48900,1,25,16777215,1582716102,2020-02-26 05:21:42,643,0,29136743459979267,e50a601e,神奇的焊井盖，我看了半天呢。,,90748352
5,,643.09500,5,25,16646914,1582716131,2020-02-26 05:22:11,643,0,29136758456188935,87014f19,hahahahh,,90748352
6,,916.73900,5,25,15138834,1582716166,2020-02-26 05:22:46,643,0,29136776941535239,8139c6bc,下次买,,90748352
7,,45.76000,1,25,16777215,1582716180,2020-02-26 05:23:00,643,0,29136784281042949,57728595,呀，说得好,,90748352
8,,256.32000,1,25,16777215,1582716182,2020-02-26 05:23:02,643,0,29136785432903683,2e00cd31,哈哈哈哈哈哈哈(ಡωಡ)hiahiahia,,90748352
9,,572.58200,1,25,16777215,1582716231,2020-02-26 05:23:51,643,0,29136811274534915,52ca2b0d,淦,,90748352
10,,146.45500,1,25,16777215,1582716251,2020-02-26 05:24:11,643,0,29136821148450821,655811d0,全部在后面，不用急,,90748352
11,,692.69400,5,25,16646914,1582716268,2020-02-26 05:24:28,643,0,29136830152572933,87014f19,笑死我了,,90748352
12,,906.11700,1,25,16777215,1582716310,2020-02-26 05:25:10,643,0,29136852489863171,141dddf0,关注拉关注啦,,90748352
13,,135.55900,1,25,16777215,1582716347,2020-02-26 05:25:47,643,0,29136871686144003,dacc3d4c,咳嗽隔离,,90748352
14,,551.62000,1,25,16777215,1582716350,2020-02-26 05:25:50,643,0,29136873335029763,18a454ad,哈哈哈哈,,90748352
15,,733.80100,5,25,16646914,1582716365,2020-02-26 05:26:05,643,0,29136881430036487,87014f19,？？？？？？？？？？？？？？？？？,,90748352
16,,799.88100,5,25,16646914,1582716433,2020-02-26 05:27:13,643,0,29136916864565253,87014f19,感谢,,90748352
17,,805.15200,5,25,16646914,1582716438,2020-02-26 05:27:18,643,0,29136919683661827,87014f19,保护,,90748352
18,,816.23100,5,25,16646914,1582716449,2020-02-26 05:27:29,643,0,29136925459218437,87014f19,保护保护保护,,90748352
19,,857.28300,5,25,16646914,1582716505,2020-02-26 05:28:25,643,0,29136954367410179,87014f19,哈哈哈哈,,90748352
20,,210.88200,5,25,15772458,1582716588,2020-02-26 05:29:48,643,0,29136998102466565,6737bce0,确实已经是比较客观中立了，所以人家才不服气啊(笑),,90748352
21,,29.92800,1,25,16777215,1582716595,2020-02-26 05:29:55,643,0,29137001959653383,a9124ffb,简介好可爱,,90748352
22,,128.51400,1,25,16777215,1582716697,2020-02-26 05:31:37,643,0,29137055007113221,7f0f0805,哈哈哈哈哈，不要再狡辩了啦，掉份,,90748352
23,,683.15500,1,25,15138834,1582716702,2020-02-26 05:31:42,643,0,29137058083110915,e59bf4e7,看下面字幕,,90748352
24,,743.78900,1,25,16777215,1582716718,2020-02-26 05:31:58,643,0,29137066130407431,97d5fd2d,？？？？,,90748352
25,,856.75200,1,25,16777215,1582716743,2020-02-26 05:32:23,643,0,29137079286890501,c81d0a78,66666,,90748352
26,,924.13900,1,25,16777215,1582716747,2020-02-26 05:32:27,643,0,29137081573834755,18a454ad,66666,,90748352
27,,266.85600,1,25,16777215,1582716751,2020-02-26 05:32:31,643,0,29137083799437319,6b4fced5,哈哈哈哈,,90748352
28,,892.06600,5,25,16646914,1582716758,2020-02-26 05:32:38,643,0,29137087402868739,87014f19,搓手笔记,,90748352
29,,188.82800,1,25,16777215,1582716774,2020-02-26 05:32:54,643,0,29137095761592323,7f0f0805,哈哈哈哈哈，赵少康：我骂我自己！,,90748352
30,,856.06900,1,25,16777215,1582716841,2020-02-26 05:34:01,643,0,29137130623598597,97d5fd2d,老阴阳师了哈哈哈哈,,90748352
31,,242.96600,1,25,16777215,1582716846,2020-02-26 05:34:06,643,0,29137133630914567,7f0f0805,哈哈哈哈，那是一个儿童节目吧,,90748352
32,,273.67900,1,25,16777215,1582716906,2020-02-26 05:35:06,643,0,29137165102874631,9a0e7896,哈哈哈哈,,90748352
33,,340.10400,1,25,16777215,1582716951,2020-02-26 05:35:51,643,0,29137188275879941,7f0f0805,？？？？,,90748352
34,,116.06900,1,25,16777215,1582716966,2020-02-26 05:36:06,643,0,29137196506677255,2e261252,？？？？,,90748352
35,,337.77800,1,25,16777215,1582717001,2020-02-26 05:36:41,643,0,29137214799609861,7f0f0805,他们可能酸溜溜吧哈哈哈哈哈哈,,90748352
36,,358.65600,1,25,16777215,1582717041,2020-02-26 05:37:21,643,0,29137235437682695,7f0f0805,湾湾的靠爱发电哈哈哈哈哈哈哈哈哈哈啊,,90748352
37,,43.15200,1,25,16777215,1582717061,2020-02-26 05:37:41,643,0,29137246027251719,a804af33,？？？？,,90748352
38,,119.07700,1,25,16777215,1582717177,2020-02-26 05:39:37,643,0,29137307015053315,17a39d7d,无中生有暗度陈仓,,90748352
39,,582.12900,1,25,16777215,1582717226,2020-02-26 05:40:26,643,0,29137332649066499,498d43a1,老严嵩了- -,,90748352
40,,749.69000,1,25,16777215,1582717234,2020-02-26 05:40:34,643,0,29137336939839491,6b4fced5,呕,,90748352
41,,34.83100,1,25,16777215,1582717295,2020-02-26 05:41:35,643,0,29137368676040711,df763140,再来一遍,,90748352
42,,847.51600,1,25,16777215,1582717332,2020-02-26 05:42:12,643,0,29137388206817285,6b4fced5,哈哈哈哈,,90748352
43,,778.78200,1,25,15138834,1582717370,2020-02-26 05:42:50,643,0,29137408253493255,1429142b,战术停顿,,90748352
44,,718.84100,1,25,16777215,1582717409,2020-02-26 05:43:29,643,0,29137428306460675,7f0f0805,哈哈哈哈,,90748352
45,,718.84100,1,25,16777215,1582717419,2020-02-26 05:43:39,643,0,29137433755385859,7f0f0805,国际孤儿哈哈哈哈哈,,90748352
46,,165.16700,1,25,16777215,1582717483,2020-02-26 05:44:43,643,0,29137467520581637,85497754,观察者能量这么大么？让少康战情室专门在节目中辩解,,90748352
