Barrages_original,Showing_time
这是你的硬盘,0.0
这是你的硬盘,0.006
默默存储着你多年以来积累的文件,0.006
这是你的个人电脑,0.018000000000000002
里面的硬盘则是你的命根子,0.018000000000000002
25分钟前,0.067
Mac OS好评,0.067
2小时前,0.185
这是你的硬盘,0.248
这是你的丈母娘,0.345
这是你的丈母娘,0.385
好的丈母娘,0.48100000000000004
这是你的丈母娘,0.518
好的张美羊,0.565
警惕 SSD一时爽，误删数据火葬场！！！,0.614
这是你的丈母娘,0.765
来了,0.7909999999999999
你好，丈母娘,0.865
这是你的丈母娘,0.985
好的丈母娘,1.025
这是你的丈母娘,1.061
你是张卖羊,1.101
你来啦丈母娘,1.261
好的，丈母娘,1.369
这是你的丈母娘,1.6780000000000002
那个男孩不想要一个丈母娘,1.729
你好丈母娘,1.806
这是你的丈母娘,1.9580000000000002
ssd,2.009
好的丈母娘,2.013
你好，丈母娘,2.269
张卖羊,2.3480000000000003
我是你的丈母娘,2.358
盲猜恰饭,2.487
丈母娘,2.548
hhh此前有一期说机械硬盘储存数据时间更长,2.688
三小时前,2.688
好的丈母娘,3.097
21min前,3.406
hi,3.406
好的丈母娘,3.427
来了,3.463
丈母娘,3.645
渣士顿打钱,3.677
.,3.8489999999999998
这是你的电脑,4.0680000000000005
我的固态硬盘刚坏,4.163
ssd,4.388
张每羊,4.587
张慢羊,4.5889999999999995
恰饭？,4.609
来了,4.626
如何打造一款爆款硬盘,4.825
恰饭系列,5.1080000000000005
mac os 好评,5.122999999999999
3小时前,5.185
丈母娘你好,5.242000000000001
Kingston Waring！！,5.252999999999999
++,5.295
支持,5.316
这是我的硬盘,5.535
呸,5.72
恰金士顿的饭,5.768
这是你的SSD,5.805
丈母娘,5.806
有没有液态气态硬盘,5.869
恰饭？,5.893
这之前不是讲过吗,5.922000000000001
这是你的丈母娘,6.04
丈母娘哈哈哈哈哈哈哈,6.148
金士顿的饭,6.148
这是你的硬盘,6.211
丈母娘,6.348
这是你的固态硬盘,6.359
两小时前,6.388
s s d,6.51
2h,6.547999999999999
金士顿,6.5729999999999995
进账声音哈哈,6.627999999999999
好的丈母娘,6.723
董爹报道,6.728
恰饭,6.817
3小时前,6.943
好的丈母娘,6.9879999999999995
这是你的固态硬盘,7.209
2小时前,7.364
开机快进游戏快好像就没什么优点了,7.4910000000000005
好的丈母娘,7.564
金士顿,7.747000000000001
丈母娘好,7.747999999999999
Mac os好评,7.825
1小时前,8.035
来了,8.047
21分钟前！,8.113999999999999
晦气,8.124
这是你的硬盘,8.173
2小时前,8.271
SSD,8.361
来了,8.38
好的丈母娘,8.398
买,8.423
恰饭,8.538
好的，美羊羊,8.661
硬盘滞销，帮帮我们,8.868
丈母娘好,8.954
30分钟前,8.954
我的妈 金士顿这个大厂都找上来了,9.102
38分钟前,9.296
便宜,9.607000000000001
20分钟,9.756
我是你丈母娘,9.763
大U盘，你来了啊,9.994
2333,10.272
别 墅 区,10.285
我已经用了十年了,10.302
喜欢回形针,10.404000000000002
就一个字:快,10.481
SN720路过,10.524000000000001
高达,10.671
恰饭！！,10.806
一小时前,10.945
好评,11.025
好的丈母娘,11.033
正好最近有这需求 哭了,11.068
好的丈母娘,11.749
恰饭,11.780999999999999
这期我不是看过？,11.895
.,12.314
你好丈母娘,12.78
现在也是,13.04
来了来了,13.508
SSD,13.787
来了来了,13.849
因为董爹来的,14.02
来学习一下,14.175999999999998
固态硬盘。还有液体硬盘吗？,14.347999999999999
我还活在几年前,14.385
丈母娘,15.255999999999998
同款V1000,15.542
金士顿固态就是个垃圾,15.683
董爹我来辣,15.984000000000002
恰饭恰饭,16.172
金士顿打钱,16.526
三星970EVOPLUS路过,16.57
糊糊糊,16.585
+++++++++++++++++++,16.822
同款固态,17.093
这我想要啊,17.19
我知道跟存储原理有关，之前貌似博物馆讲过,17.389
哈哈,17.633
丈母娘,17.673
虽然这期恰饭是金士顿的，可是金士顿的SSD……,18.734
金士顿,19.768
似曾相识,19.812
不duang成熟,20.018
我怎么感觉好像看过这期,20.428
阿珍爱上了阿强,20.625
让他恰,20.865
丈母娘你好,21.361
1小时前,21.47
卖羊,21.495
我用软盘,21.522
你好，丈母娘,22.051
金丝钝,22.428
恰饭?,22.508000000000003
金士顿！,22.531999999999996
pm981路过,22.545
已经反超了,22.677
就是好,22.698
全土顿牛B,22.798000000000002
现在流行机械固态都装一块,23.154
我也觉得看过一样,23.965999999999998
手机了解一下,24.773000000000003
那么问题了来了  今天是谁的广告,25.476999999999997
我两块都要,25.706999999999997
金士顿打钱,26.066999999999997
哇，我处在历史交汇点,26.768
2.2t固态硬盘路过,27.601
