Row_no,No,Showing_time,Mode,Font_size,Font_color,Created_time,Converted_time,Time_interval,Danmaku_pool,RowID,user_id_encrypt,Barrages_original,Barrages_simplified,VideoID
1,,245.83200,1,25,16646914,1571648884,2019-10-21 04:08:04,515,0,23334333458677764,a7df2268,支持！,,55573492
2,,12.43700,1,25,16777215,1571649453,2019-10-21 04:17:33,515,0,23334632157609984,2210f51d,我想安乐死,,55573492
3,,59.39700,1,25,16777215,1571652207,2019-10-21 05:03:27,515,0,23336075764170754,877a545b,因为“生于忧患死于安乐”啊,,55573492
4,,13.04800,1,25,16777215,1571665471,2019-10-21 08:44:31,515,0,23343030336487428,aeb09066,我愿意接受,,55573492
5,,254.73800,1,25,16777215,1571665713,2019-10-21 08:48:33,515,0,23343156995555330,aeb09066,支持,,55573492
6,,242.36600,1,25,16777215,1571672842,2019-10-21 10:47:22,515,0,23346894406156290,f7d6a549,我先带头安乐死,,55573492
7,,258.23800,1,25,15138834,1571697228,2019-10-21 17:33:48,515,0,23359680077103106,dbdc4eda,坚决支持,,55573492
8,,75.16100,1,25,16777215,1571719432,2019-10-21 23:43:52,515,0,23371321336922114,51d7191e,河南,,55573492
9,,94.15800,1,25,16777215,1571719459,2019-10-21 23:44:19,515,0,23371335274070020,51d7191e,胡辣汤,,55573492
10,,78.85800,1,25,16777215,1571719444,2019-10-21 23:44:04,515,0,23371327257182208,51d7191e,河南,,55573492
11,,251.90700,1,25,16777215,1571719861,2019-10-21 23:51:01,515,0,23371545901531138,8867ed08,支持,,55573492
12,,256.99200,1,25,16777215,1571719874,2019-10-21 23:51:14,515,0,23371552657506304,8867ed08,支持,,55573492
13,,244.37900,1,25,16777215,1571735221,2019-10-22 04:07:01,516,0,23379599002435586,bcb50e5,都死了去哪里咔韭菜,,55573492
14,,60.70700,1,25,16777215,1571747335,2019-10-22 07:28:55,516,0,23385950186897410,bdbe1bc4,抗锯齿,,55573492
15,,256.00000,1,25,16777215,1571754518,2019-10-22 09:28:38,516,0,23389716101464068,1aa5b1eb,反对,,55573492
16,,258.30300,5,25,16777215,1571754526,2019-10-22 09:28:46,516,0,23389720682168322,1aa5b1eb,反对,,55573492
17,,251.98900,1,25,16777215,1571754505,2019-10-22 09:28:25,516,0,23389709608157248,1aa5b1eb,反对,,55573492
18,,258.56000,1,25,16777215,1571806977,2019-10-23 00:02:57,517,0,23417219931701250,9c3f516f,反对,,55573492
19,,180.70100,1,25,16777215,1571812946,2019-10-23 01:42:26,517,0,23420349257351170,e79cca13,农药不能马上杀死你，会折磨你然后死去,,55573492
20,,100.39400,1,25,16777215,1571816660,2019-10-23 02:44:20,517,0,23422296747147264,6be606b8,带孝子,,55573492
21,,249.27500,1,25,16777215,1571822624,2019-10-23 04:23:44,517,0,23425423459221504,1c4fa3cf,不行,,55573492
22,,43.85800,1,25,16777215,1571826009,2019-10-23 05:20:09,517,0,23427198064525316,ce4f07f5,因为一但同意，中国人口锐减,,55573492
23,,249.25800,1,25,16777215,1571831407,2019-10-23 06:50:07,517,0,23430028471566340,eac23b0a,大部分人肯定是想活着看见更多风景，不想活下去肯定有自己的理由，就算没有安乐死，可能也会选择自杀,,55573492
24,,214.59500,1,25,16777215,1571837779,2019-10-23 08:36:19,517,0,23433369206915076,8b3d6639,我支持安乐死,,55573492
25,,248.41000,1,25,16777215,1571838018,2019-10-23 08:40:18,517,0,23433494345547776,8b3d6639,的确是想轻易结束生命而支持,,55573492
26,,258.27700,1,25,16777215,1571839846,2019-10-23 09:10:46,517,0,23434452757118976,844f25a,中立,,55573492
27,,256.11100,1,25,16777215,1571873248,2019-10-23 18:27:28,517,0,23451964998680578,81f47b38,支持,,55573492
28,,257.29500,1,25,16777215,1571876505,2019-10-23 19:21:45,517,0,23453672737865730,8320cc33,反对,,55573492
29,,250.00100,1,25,16777215,1571878846,2019-10-23 20:00:46,517,0,23454900176289794,48ec653a,支持,,55573492
30,,219.52000,1,25,16777215,1571894211,2019-10-24 00:16:51,518,0,23462955912790020,8f9533e3,我怕痛苦的死，我曾经想过安乐死，但是没想到这样…,,55573492
31,,256.59300,1,25,16777215,1571911287,2019-10-24 05:01:27,518,0,23471908479041536,fda564c4,反对,,55573492
32,,57.79500,1,25,16777215,1571913463,2019-10-24 05:37:43,518,0,23473049545211904,5e1c78eb,减寿预警哈哈哈哈哈哈,,55573492
33,,62.93200,1,25,16777215,1571913472,2019-10-24 05:37:52,518,0,23473054191976448,5e1c78eb,暴力,,55573492
34,,180.50200,1,25,15138834,1571915163,2019-10-24 06:06:03,518,0,23473940630863872,5fc25bdc,唉，本来只是好心而已。,,55573492
35,,245.03600,1,25,15138834,1571915234,2019-10-24 06:07:14,518,0,23473977926090754,5fc25bdc,为什么荷兰可以做的很好，中国却做不到啊？,,55573492
36,,44.72100,1,25,16777215,1571921219,2019-10-24 07:46:59,518,0,23477115569569796,85f82133,反对，万一自己被别人强制安乐死呢,,55573492
