Row_no,No,Showing_time,Mode,Font_size,Font_color,Created_time,Converted_time,Time_interval,Danmaku_pool,RowID,user_id_encrypt,Barrages_original,Barrages_simplified,VideoID
1,,98.89500,1,25,16777215,1582959349,2020-02-29 00:55:49,646,0,29264274650562563,ac48d7e5,暴走,,91101531
2,,168.77900,1,25,16777215,1582959381,2020-02-29 00:56:21,646,0,29264291374301191,efd56900,赞一个日本华侨好样的！,,91101531
3,,101.83800,1,25,16777215,1582959758,2020-02-29 01:02:38,646,0,29264489207562247,6b4959d4,？？,,91101531
4,,120.13900,1,25,16777215,1582959776,2020-02-29 01:02:56,646,0,29264498644746245,6b4959d4,豆奶注意安全,,91101531
5,,325.00300,1,25,16777215,1582959913,2020-02-29 01:05:13,646,0,29264570756366339,9e52bb5,囤货,,91101531
6,,175.76600,1,25,16777215,1582960274,2020-02-29 01:11:14,646,0,29264759871766533,841c8da6,我  从心,,91101531
7,,105.15000,1,25,16777215,1582960334,2020-02-29 01:12:14,646,0,29264791297589255,9f1a16f4,我也怎么认为的   。。。不用太夸张吧,,91101531
8,,303.79000,1,25,16777215,1582960370,2020-02-29 01:12:50,646,0,29264810374856711,a156fa99,中国全国都停了,,91101531
9,,119.10100,1,25,16777215,1582960396,2020-02-29 01:13:16,646,0,29264823731617797,5ffbaad7,66666,,91101531
10,,124.59700,1,25,16777215,1582960402,2020-02-29 01:13:22,646,0,29264826647707651,5ffbaad7,非常优秀,,91101531
11,,337.64100,1,25,16777215,1582960561,2020-02-29 01:16:01,646,0,29264910046724101,231fe81b,下次,,91101531
12,,96.79700,1,25,16777215,1582960669,2020-02-29 01:17:49,646,0,29264966586990597,9c518fe9,不会是去人口老龄化吧,,91101531
13,,234.05900,1,25,16777215,1582960743,2020-02-29 01:19:03,646,0,29265005811597315,a53c61c2,哈哈哈哈,,91101531
14,,4.65200,1,25,16777215,1582961251,2020-02-29 01:27:31,646,0,29265271818551301,abdab9f7,奶奶快回来,,91101531
15,,171.44500,1,25,16777215,1582961254,2020-02-29 01:27:34,646,0,29265273457999875,fa0da63e,送口罩的那些人，你们爷爷叫你,,91101531
16,,95.38000,1,25,16707842,1582961268,2020-02-29 01:27:48,646,0,29265280981532677,bf69b719,豆奶快回来！！,,91101531
17,,28.79700,1,25,16777215,1582962170,2020-02-29 01:42:50,646,0,29265753777111047,7a849d73,哇，这就原地解散了？那日本不还的爆炸去,,91101531
