Barrages_original,Showing_time
因为违法，讨论完毕,0.0
因为人口会大量减少,0.151
"不支持安乐死的是因为还太年轻,要是他一身病,身边没子女,还穷困潦倒的时候他自己就喝百草枯了",0.452
因为是给云天明安排的,0.489
↑这不正在讨论为什么违法吗，，，,0.556
因为云天明还活着,0.659
因为他想让我们上吊死,0.768
喜欢马上给你安排,0.8590000000000001
我支持，我觉得安乐死挺好的。,1.205
因为违法，讨论完毕,1.342
我宁可被枪决，我也不乐意安乐死。,1.357
会有大量人求死,1.44
因为违法，讨论结束,1.768
冲鸭,1.962
当然不行了！,2.384
支持,2.412
死了就没韭菜了,2.721
这么舒服就让你死了 那国家岂不是亏了 老实点 好好回去当社畜 当韭菜 表现好了可能会赏你一次安乐死的机会,3.0810000000000004
生者安乐，死者不一定,3.585
可以放弃治疗啊,3.596
因为生于忧患 死于安乐,4.134
换句话说就是不得好死,4.1789999999999985
因为怕医院没钱赚了，再加上现在的社会压力基尼系数等等影响，谁都怕面对生活了。,4.299
bgm是原创 音乐合辑里有！,4.522
总有人会被安乐死的,4.618
怕担责,4.7010000000000005
想想农村 遗弃老人和老人自杀的事本来就多 安乐死合法岂不是合法剥夺了他们的生存权利,4.922
要有那我早死了,5.205
死个几千万你们很开心么，人命最值钱,5.9689999999999985
bgm是原创！,6.6560000000000015
那中国老龄化一定会加重,6.657
我觉得任何死都很疼。所以不敢死,6.6610000000000005
因为打扰医院赚钱,6.997999999999998
高利贷的人逼你签安乐死协议，你无法证明自己是否自愿因为你已经死了,6.997999999999998
贵。。。。。。。。。,7.096
人不能拥有放弃字由的字由,7.2810000000000015
因为他是死刑犯，他以前伤害很多家庭和人，所有没有资格安乐死,7.3210000000000015
因为安乐死法案是为了云天明通过的～没云天明自然不能安乐死,7.977
安乐死监管不严容易出事儿,8.026
因为被......,8.139
因为腐败，,8.172
不应该是euthanasia么,8.362
估计和中国传统有关,8.398
云天明,8.427
没有君堡差评,8.502
我能,8.693
因为死了没有韭菜可以割了,8.874
有安眠药,9.83
因为打扰医院赚钱,10.158
合法了，就容易“被安乐死”了,10.318
换句话说就是不得好死，太难了,11.099
穷,11.53
哪个男孩不想被安乐死？,11.838
不想花钱,11.914
因为没得选,12.032
我想安乐死,12.437
安乐死很痛苦的,12.595
怕有人干坏事,12.878
我愿意接受,13.048
我愿意,13.148
支持,13.177
要养国家,13.838
云天明,14.088
真的想安乐死,14.296
因为好死不如赖活着,14.339
庄子,14.682
应该就是钱的问题，痛快的死了，谁来赚钱？,15.558
哈哈,15.899
打针喽,16.714000000000002
要养国家,16.984
我不想死,18.179
声音好好听,19.193
越大越难管,19.327
为啥要安乐死？,19.331
因为医院可以赚更多的黑钱哈哈哈,19.838
我没资格死(눈_눈),20.595
如果可以我马上,20.708
反对安乐死,20.78
安乐了韭菜哪里去找,21.091
如果可以 我想安乐死,21.585
你们想过会有子女强制老人安乐死吗,21.661
他声音好听,24.155
能安乐死我已经死了,24.465
安乐死？不仅容易被人利用，而且想起来也不是太乐观吧？,25.045
巨人的陨落第二部里讲到过,25.38
看完视频，发现你这视频就是文不对题，瑞典也支持安乐死,25.747
anlesi,26.239
不想活可以自杀啊，为什么要别人杀了自己嘞。,26.292
我希望有这个选择,26.294
希望国内安乐死早日合法化,26.323
安乐死贵不贵，我想了解一下,27.323
声音好好听！！,27.818
我想 我可以,30.961
娱乐至死,30.976
书声音好听,31.232
文化差异,31.559
我也想,32.561
有的选的话 大概中国会蒸发一半人口以上,32.768
左边：安乐死等于谋杀,34.285
右边：我想带着尊重死去,34.285
我好想。没有痛苦的话,34.496
我中立,34.624
右：拥有尊重,34.679
我希望我安乐死,35.219
